 ,ggmice,mice,naniar,VIM
"\textbf{Incomplete data} (e.g., \texttt{data.frame} object)", , , , 
$-$ missing data patterns,$+$,$+$,$\pm$,$+$
$-$ joint & marginal distributions,$+$,$-$,$+$,$+$
\textbf{Imputation model building} , , , , 
$-$ associations in observed data,$+$,$-$,$-$,$-$
$-$ associations with missingness indicators,$+$,$+$,$-$,$-$
$-$ conditional distribution with missingness indicator,$+$,$-$,$-$,$-$
$-$ imputation models,$+$,$-$,$-$,$-$
"\textbf{Imputed data} (e.g., \texttt{mids} object)", , , , 
$-$ trace plot of the imputation algorithm,$+$,$+$,$-$,$-$
$-$ joint & marginal distributions,$+$,$+$,$-$,$-$
\textbf{User utility} , , , , 
"$-$ extendability (i.e., non-deterministic graph types)",$+$,$-$,$\pm$,$-$
"$-$ editability (i.e., design adaptable for publication)",$+$,$-$,$+$,$-$
"$-$ popularity (i.e., monthly downloads)",$-$,$+$,$\pm$,$\pm$
